Site,Structure,Root Code,SV,Saleable,Barcode,Description,Barcode Component,SV,Description Component,Quantity,Saleable
11252,42010,102822846,1,Y ,28857125291020,WBPไก๋ไก่ หนังไก่กรอบBBQ32กP36 ,8857125291026,0,EXC_ไก่ไก๋ หนังไก่บาร์บีคิว32ก ,36,N 
11252,42010,102822847,1,Y ,28857125291167,WBPไก๋ไก่หนังไก่ศรีราช32กP36 ,8857125291163,0,EXC_ไก่ไก๋ หนังไก่ศรีราชา32ก ,36,N 
11252,42010,102884142,1,Y ,8854923314315,WBPสแน็คแจ๊คหอยเชลล์สไปซี62กP4 ,8854923314308,0,สแน็คแจ๊คหอยเชลล์สไปซี่ 62ก ,4,Y 
11252,42010,102911948,1,N ,6924187885417,BPชาช่าทานตะวันพุทธา40ก.P12 ,6924187885400,0,ชาช่า ทานตะวันพุทราจีน40ก ,12,N 
11252,42010,102911949,1,N ,6924187885424,WBPชาช่าทานตะวันกาแฟ 40ก P12 ,6924187885394,0,ชาช่า ทานตะวัน รสกาแฟ40ก ,12,N 
11252,42010,102946017,1,N ,8851004199861,BPปาร์ตี้ปังเย็นนมชมพู 57กP3 ,8851004199878,0,ปาร์ตี้ปังเย็นนมชมพู 57 กรัม ,3,N 
11252,42010,102946018,1,N ,8851004199823,BPปาร์ตี้เลมอนชีสเค้ก 57กP3 ,8851004199830,0,ปาร์ตี้เลมอนชีสเค้ก 57 กรัม ,3,N 
11252,42010,103003594,1,Y ,48850309218688,WBPโรลเลอร์เอ็กซตร้าBBQ54กP12 ,8850309219922,0,โรลเลอร์เอ็กซ์ตร้าบาร์บีคิว54ก ,12,Y 
11252,42010,103041582,1,Y ,8858223008943,WBPไบตี้ข้าวโพดแทงรสกุ้ง90กP20 ,8858223008509,0,BITEE ข้าวโพดแท่งทอด กุ้ง 90ก ,20,Y 
11252,42010,103062889,1,N ,8850284091124,WBPไก่ย่างโปรพริกปิญโญ52กP3 ,8850284091117,0,ไก่ย่างโปรพริกฮาลาปินโญ่52ก ,3,N 
11252,42010,103214034,1,N ,8858694695116,WBPไบตี้ชีสบอลข้าวโพดสชีส60กP6 ,8858694695062,0,BITEE ชีสริง (ข้าวโพดอบชีส)60ก ,6,Y 
11252,42010,103214035,1,Y ,8858694695109,WBPไบตี้ชีสริงข้าวโพดชีส60ก.P6 ,8858694695048,0,BITEE ชีสบอล(ข้าวโพดสชีส)60ก. ,6,Y 
11252,42010,103214036,1,Y ,8858694695086,WBPไบตี้ธัญพืชอบช็อกโก55ก.P6 ,8858694695024,0,BITEE ธัญพืชอบกรอบช็อกโก 55ก. ,6,Y 
11252,42010,103214037,1,N ,8858694695093,WBPไบตี้ธัญพืชอบช็อกโกนม55ก.P6 ,8858694695000,0,BITEE ธัญพืชอบกรอบช็อกโกนม 55ก ,6,Y 
11252,42010,103236025,1,Y ,8851004799986,WBPเพลินเอ็กซ์ตร้าซีฟู้ด85กP3 ,8851004799993,0,เพลินเอ็กซ์ตร้าซีฟุ้ด 85 กรัม ,3,Y 
11252,42010,103236026,1,Y ,8851004799962,WBPเพลินเอ็กซ์ตร้าสาหร่าย85กP3 ,8851004799979,0,เพลินเอ็กซ์ตร้าสาหร่าย 85 กรัม ,3,Y 
11252,42030,101387567,2,Y ,48850309205848,WBPโรลเลอร์เรียบ ออริจิ54ก P12 ,8850309205840,0,โรลเลอร์โคสเตอร์มันฝรั่งแท้ ,12,Y 
11252,42030,101387567,1,N ,2001028030442,BPโรลเลอร์มันฝรั่งแท้57ก P3 ,8850309205840,0,โรลเลอร์โคสเตอร์มันฝรั่งแท้ ,3,Y 
11252,42030,101387585,2,Y ,48850309205855,WBPโรลเลอรBBQ54กP12 ,8850309205857,0,โรลเลอร์สไปซี่บาร์บีคิว ,12,Y 
11252,42030,101387585,1,N ,2001028030459,BPโรลเลอร์เรียบรสBBQ 57ก P3 ,8850309205857,0,โรลเลอร์สไปซี่บาร์บีคิว ,3,Y 
11252,42030,102274024,1,N ,8851004461043,BPเทสโตเรียบเกลือ 42ก*6 ,8851004461203,0,เทสโตเรียบเกลือ 42กรัม ,6,N 
11252,42030,102384083,1,Y ,8851004451044,WBPคารามูโจ้เรียบชิลลี่40ก P4 ,8851004451204,0,คารามูโจ้เรียบฮ๊อตชิลลี่40ก ,4,Y 
11252,42030,102384084,1,Y ,8851004454069,WBPคารามูโจ้หยักชิลลี่40ก P4 ,8851004454205,0,คารามูโจ้แผ่นหยักฮ๊อตชิลลี่40ก ,4,Y 
11252,42030,102631713,2,Y ,18851004475245,WBPเทสโตไข่เค็ม50กP24 ,8851004475309,0,เทสโตแผ่นเรียบรสไข่เค็ม50 ก. ,24,Y 
11252,42030,102631713,1,Y ,8851004475040,BPเทสโตแผ่นเรียบรสไข่เค็ม50ก*6 ,8851004475309,0,เทสโตแผ่นเรียบรสไข่เค็ม50 ก. ,6,Y 
11252,42030,102768451,2,Y ,18851004475122,WBPเทสโตรสไข่เค็ม90กP24 ,8851004475507,0,เทสโตเรียบไข่เค็มออริจินอล 90ก ,24,Y 
